sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,built_year,has_individual_heating,has_central_heating
86.0,76.0,3,1.0,4,662,129000,HouseType 1: Pisos,1984.0,True,False
75.0,65.0,3,2.0,1,674,132000,HouseType 1: Pisos,1961.0,,
85.0,75.0,3,1.0,Bajo,686,135000,HouseType 1: Pisos,1969.0,True,False
65.0,58.0,2,1.0,Bajo,535,99000,HouseType 1: Pisos,1950.0,True,False
53.0,,3,1.0,3,601,114300,HouseType 1: Pisos,,,
68.0,62.0,3,1.0,2,485,88000,HouseType 1: Pisos,,True,False
75.0,,3,1.0,5,583,110000,HouseType 1: Pisos,,,
83.0,71.0,2,1.0,1,728,146000,HouseType 1: Pisos,2003.0,True,False
95.0,,3,1.0,Bajo,592,112000,HouseType 1: Pisos,,,
30.0,27.0,1,1.0,Bajo,342,59000,HouseType 1: Pisos,1960.0,,
53.0,,1,1.0,6,728,146000,HouseType 1: Pisos,,True,False
125.0,,3,3.0,7,1135,275000,HouseType 5: Áticos,2004.0,,
153.0,102.0,4,2.0,1,844,178000,HouseType 1: Pisos,1999.0,True,False
86.0,76.0,3,1.0,4,662,129000,HouseType 1: Pisos,1984.0,True,False
66.0,60.0,2,1.0,2,521,96000,HouseType 1: Pisos,,,
63.0,58.0,3,1.0,4,456,82000,HouseType 1: Pisos,1960.0,True,False
59.0,,2,1.0,,654,126900,HouseType 1: Pisos,,,
95.0,90.0,3,1.0,Bajo,913,199000,HouseType 1: Pisos,1966.0,True,False
65.0,,2,1.0,2,1015,232000,HouseType 1: Pisos,,True,False
69.0,,2,1.0,1,1038,240000,HouseType 1: Pisos,,,
115.0,,4,2.0,,1275,330000,HouseType 1: Pisos,,,
60.0,,3,1.0,3,625,120000,HouseType 1: Pisos,1960.0,True,False
90.0,,3,2.0,4,823,172000,HouseType 1: Pisos,,True,False
60.0,,3,1.0,2,458,82260,HouseType 1: Pisos,,True,False
65.0,,2,1.0,Bajo,579,109000,HouseType 1: Pisos,1950.0,True,False
115.0,110.0,4,1.0,1,678,133000,HouseType 1: Pisos,,,
83.0,,3,2.0,1,587,111000,HouseType 1: Pisos,,,
55.0,,2,1.0,2,583,110000,HouseType 1: Pisos,,,
80.0,60.0,2,2.0,1,851,179990,HouseType 1: Pisos,2003.0,True,False
68.0,,3,1.0,1,766,156000,HouseType 1: Pisos,,True,False
89.0,60.0,2,2.0,1,1003,228000,HouseType 1: Pisos,,True,False
61.0,55.0,3,1.0,4,489,89000,HouseType 1: Pisos,1960.0,,
67.0,,3,1.0,3,621,119000,HouseType 1: Pisos,1960.0,,
68.0,60.0,3,1.0,2,512,94000,HouseType 1: Pisos,,True,False
92.0,,3,2.0,4,833,175000,HouseType 1: Pisos,1962.0,True,False
70.0,68.0,3,1.0,2,494,90000,HouseType 1: Pisos,,True,False
63.0,,3,1.0,1,805,167000,HouseType 1: Pisos,1966.0,True,False
57.0,55.0,3,1.0,5,521,96000,HouseType 1: Pisos,1965.0,True,False
63.0,60.0,3,1.0,3,466,84000,HouseType 1: Pisos,1968.0,True,False
52.0,,2,1.0,4,544,101000,HouseType 1: Pisos,1960.0,True,False
125.0,76.0,3,2.0,1,948,210000,HouseType 1: Pisos,,True,False
125.0,,3,3.0,1,1135,275000,HouseType 4: Dúplex,2004.0,,
75.0,,3,1.0,2,672,131400,HouseType 1: Pisos,,,
71.0,,3,1.0,,672,131400,HouseType 1: Pisos,,,
80.0,72.0,3,1.0,1,517,95000,HouseType 1: Pisos,,,
66.0,60.0,3,1.0,1,508,93000,HouseType 1: Pisos,1969.0,True,False
95.0,75.0,2,2.0,Bajo,760,154500,HouseType 1: Pisos,2007.0,,
61.0,,3,1.0,4,539,100000,HouseType 1: Pisos,,,
42.0,,4,1.0,Bajo,521,95900,HouseType 1: Pisos,,,
85.0,64.0,3,1.0,1,762,154900,HouseType 1: Pisos,1980.0,True,False
80.0,74.0,2,1.0,3,604,115000,HouseType 1: Pisos,,True,False
55.0,45.0,2,1.0,3,521,96000,HouseType 1: Pisos,1962.0,True,False
60.0,50.0,0,1.0,Bajo,471,85000,,,True,False
60.0,53.0,2,1.0,3,517,95000,HouseType 1: Pisos,,,
55.0,,3,1.0,1,437,78000,HouseType 1: Pisos,,,
93.0,90.0,3,1.0,Bajo,660,128500,HouseType 1: Pisos,,True,False
55.0,50.0,2,1.0,Bajo,517,95000,HouseType 1: Pisos,,True,False
82.0,70.0,3,1.0,3,465,83900,HouseType 1: Pisos,,,
53.0,50.0,2,1.0,1,521,96000,HouseType 1: Pisos,,,
69.0,,2,1.0,Bajo,619,118600,HouseType 1: Pisos,,,
58.0,,2,1.0,1,617,118000,HouseType 1: Pisos,,,
70.0,55.0,2,1.0,1,923,202000,HouseType 1: Pisos,2009.0,,
47.0,33.0,1,1.0,3,721,144000,HouseType 1: Pisos,2009.0,,
64.0,,2,1.0,1,535,98968,HouseType 1: Pisos,,,
